Reference,MaterialSample-ID (received),MaterialSampleID,MaterialSample-ID (EMOBON),Sequence_batch,Gene,Sample_code,DNA_code,Concentration_ng_per_µl,Volume_µl,Quantity_vol,Tag,Code,Forward_read,Reverse_read,PCR_negative_control_extraction,PCR_negative_control_Code_1,PCR_negative_control_Code_2,Number_of_sequences,Comment_1,Comment_2,Run
EMOBON00699,EMO BON PiEGetxo Ha 210729-211124 MF 05 1.2,ARMS_Getxo_G1_20210729_20211124_MF500_s2_r1,EMOBON_PiEGetxo_G1_Ha_210729_211124_MF500_2,Batch3.1,18S rRNA (V1-V2),DBN_AAFG,DBP_AADH,22,98,2156,DBQ_AADZ,DBQ_AADZOSTA_1_HW5CMDRX3.UDI087-BID13,DBQ_AADZOSTA_1_1_HW5CMDRX3.UDI087-BID13_clean.fastq.gz,DBQ_AADZOSTA_1_2_HW5CMDRX3.UDI087-BID13_clean.fastq.gz,not reported by Genoscope,CEB_DER,CEB_DES,3765850,,ARMS organisms sample from station PiEGetxo,240313_JARVIS_HW5CMDRX3
EMOBON00700,EMO BON PiEGetxo Ha 210729-211124 MF 01 1.2,ARMS_Getxo_G1_20210729_20211124_MF100_s2_r1,EMOBON_PiEGetxo_G1_Ha_210729_211124_MF100_2,Batch3.1,18S rRNA (V1-V2),DBN_AAFH,DBP_AAIM,"18,239",90,"1641,5",DBQ_AAUN,DBQ_AAUNOSTA_1_H3L7NDRX5.UDI339-BID09,DBQ_AAUNOSTA_1_1_H3L7NDRX5.UDI339-BID09_clean.fastq.gz,DBQ_AAUNOSTA_1_2_H3L7NDRX5.UDI339-BID09_clean.fastq.gz,not reported by Genoscope,CEB_DFR,CEB_DFS,1259079,,ARMS organisms sample from station PiEGetxo,240409_JARVIS_H3L7NDRX5
EMOBON00701,EMO BON PiEGetxo Ha 210729-211124 SF 1.2,ARMS_Getxo_G1_20210729_20211124_SF_s2_r1,EMOBON_PiEGetxo_G1_Ha_210729_211124_SF_2,Batch3.1,18S rRNA (V1-V2),DBN_AAFI,DBP_AADI,"8,57",98,"839,9",DBQ_AAEA,DBQ_AAEAOSTA_1_HW5CMDRX3.UDI086-BID15,DBQ_AAEAOSTA_1_1_HW5CMDRX3.UDI086-BID15_clean.fastq.gz,DBQ_AAEAOSTA_1_2_HW5CMDRX3.UDI086-BID15_clean.fastq.gz,not reported by Genoscope,CEB_DER,CEB_DES,1245424,,ARMS organisms sample from station PiEGetxo,240313_JARVIS_HW5CMDRX3
EMOBON00702,EMO BON PiEGetxo Ha 210729-211124 MF 0.5 2.1,ARMS_Getxo_G2_20210729_20211124_MF500_s1_r1,EMOBON_PiEGetxo_G2_Ha_210729_211124_MF500_1,Batch3.1,18S rRNA (V1-V2),DBN_AAFJ,DBP_AAIN,"19,355",90,1742,DBQ_AAUO,DBQ_AAUOOSTA_2_H5FGYDRX5.UDI351-BID11,DBQ_AAUOOSTA_2_1_H5FGYDRX5.UDI351-BID11_clean.fastq.gz,DBQ_AAUOOSTA_2_2_H5FGYDRX5.UDI351-BID11_clean.fastq.gz,not reported by Genoscope,CEB_DFR,CEB_DFS,2517302,,ARMS organisms sample from station PiEGetxo,240411_JARVIS_H5FGYDRX5
EMOBON00703,EMO BON PiEGetxo Ha 210729-211124 MF 01 2.1,ARMS_Getxo_G2_20210729_20211124_MF100_s1_r1,EMOBON_PiEGetxo_G2_Ha_210729_211124_MF100_1,Batch3.1,18S rRNA (V1-V2),DBN_AAFK,DBP_AADK,"13,65",98,"1337,7",DBQ_AAEC,DBQ_AAECOSTA_1_HW5CMDRX3.UDI015-BID15,DBQ_AAECOSTA_1_1_HW5CMDRX3.UDI015-BID15_clean.fastq.gz,DBQ_AAECOSTA_1_2_HW5CMDRX3.UDI015-BID15_clean.fastq.gz,not reported by Genoscope,CEB_DER,CEB_DES,2324778,,ARMS organisms sample from station PiEGetxo,240313_JARVIS_HW5CMDRX3
EMOBON00704,EMO BON PiEGetxo Ha 210729-211124 SF 2.1,ARMS_Getxo_G2_20210729_20211124_SF_s1_r1,EMOBON_PiEGetxo_G2_Ha_210729_211124_SF_1,Batch3.1,18S rRNA (V1-V2),DBN_AAFL,DBP_AADL,666,98,"65,3",DBQ_AAED,DBQ_AAEDOSTA_1_HW5CMDRX3.UDI039-BID15,DBQ_AAEDOSTA_1_1_HW5CMDRX3.UDI039-BID15_clean.fastq.gz,DBQ_AAEDOSTA_1_2_HW5CMDRX3.UDI039-BID15_clean.fastq.gz,not reported by Genoscope,CEB_DER,CEB_DES,2184249,,ARMS organisms sample from station PiEGetxo,240313_JARVIS_HW5CMDRX3
EMOBON00705,EMO BON PiEGetxo Ha 210729-211124 MF 0.5 2.2,ARMS_Getxo_G2_20210729_20211124_MF500_s2_r1,EMOBON_PiEGetxo_G2_Ha_210729_211124_MF500_2,Batch3.1,18S rRNA (V1-V2),DBN_AAFM,DBP_AADM,"3,67",98,"359,7",DBQ_AAEE,DBQ_AAEEOSTA_1_HW5CMDRX3.UDI051-BID15,DBQ_AAEEOSTA_1_1_HW5CMDRX3.UDI051-BID15_clean.fastq.gz,DBQ_AAEEOSTA_1_2_HW5CMDRX3.UDI051-BID15_clean.fastq.gz,not reported by Genoscope,CEB_DER,CEB_DES,1919045,,ARMS organisms sample from station PiEGetxo,240313_JARVIS_HW5CMDRX3
EMOBON00706,EMO BON PiEGetxo Ha 210729-211124 MF 01 2.2,ARMS_Getxo_G2_20210729_20211124_MF100_s2_r1,EMOBON_PiEGetxo_G2_Ha_210729_211124_MF100_2,Batch3.1,18S rRNA (V1-V2),DBN_AAFN,DBP_AADN,"17,95",98,"1759,1",DBQ_AAEF,DBQ_AAEFOSTA_1_HW5CMDRX3.UDI063-BID15,DBQ_AAEFOSTA_1_1_HW5CMDRX3.UDI063-BID15_clean.fastq.gz,DBQ_AAEFOSTA_1_2_HW5CMDRX3.UDI063-BID15_clean.fastq.gz,not reported by Genoscope,CEB_DER,CEB_DES,2403991,,ARMS organisms sample from station PiEGetxo,240313_JARVIS_HW5CMDRX3
EMOBON00707,EMO BON PiEGetxo Ha 210729-211124 SF 2.2,ARMS_Getxo_G2_20210729_20211124_SF_s2_r1,EMOBON_PiEGetxo_G2_Ha_210729_211124_SF_2,Batch3.1,18S rRNA (V1-V2),DBN_AAFO,DBP_AADJ,"1,585",98,"155,3",DBQ_AAEB,DBQ_AAEBOSTA_1_HW5CMDRX3.UDI027-BID15,DBQ_AAEBOSTA_1_1_HW5CMDRX3.UDI027-BID15_clean.fastq.gz,DBQ_AAEBOSTA_1_2_HW5CMDRX3.UDI027-BID15_clean.fastq.gz,not reported by Genoscope,CEB_DER,CEB_DES,2251325,,ARMS organisms sample from station PiEGetxo,240313_JARVIS_HW5CMDRX3
EMOBON00713,ARMS6_Crete_1HERP_20200903_20210626 SF(1),ARMS_Crete_1HERP_20200903_20210626_SF_s1_r1,EMOBON_HCMR-1_1HERP_Ha_200903_210626_SF_1,Batch3.1,18S rRNA (V1-V2),DBN_AAFQ,DBP_AADO,"7,43",98,"728,1",DBQ_AAEG,DBQ_AAEGOSTA_1_HW5CMDRX3.UDI075-BID15,DBQ_AAEGOSTA_1_1_HW5CMDRX3.UDI075-BID15_clean.fastq.gz,DBQ_AAEGOSTA_1_2_HW5CMDRX3.UDI075-BID15_clean.fastq.gz,not reported by Genoscope,CEB_DER,CEB_DES,1881116,,ARMS organisms sample from station HCMR1,240313_JARVIS_HW5CMDRX3
EMOBON00715,ARMS6_Crete_1HERP_20200903_20210626 MF 500um,ARMS_Crete_1HERP_20200903_20210626_MF500_s1_r1,EMOBON_HCMR-1_1HERP_Ha_200903_210626_MF500_1,Batch3.1,18S rRNA (V1-V2),DBN_AAFS,DBP_AADQ,"5,06",98,"495,9",DBQ_AAEI,DBQ_AAEIOSTA_1_HW5CMDRX3.UDI086-BID16,DBQ_AAEIOSTA_1_1_HW5CMDRX3.UDI086-BID16_clean.fastq.gz,DBQ_AAEIOSTA_1_2_HW5CMDRX3.UDI086-BID16_clean.fastq.gz,not reported by Genoscope,CEB_DER,CEB_DES,2903473,,ARMS organisms sample from station HCMR1,240313_JARVIS_HW5CMDRX3
EMOBON00716,ARMS6_Crete_1HERP_20200903_20210626 MF 90um,ARMS_Crete_1HERP_20200903_20210626_MF90_s1_r1,EMOBON_HCMR-1_1HERP_Ha_200903_210626_MF90_1,Batch3.1,18S rRNA (V1-V2),DBN_AAFT,DBP_AADR,7,98,686,DBQ_AAEJ,DBQ_AAEJOSTA_1_HW5CMDRX3.UDI027-BID16,DBQ_AAEJOSTA_1_1_HW5CMDRX3.UDI027-BID16_clean.fastq.gz,DBQ_AAEJOSTA_1_2_HW5CMDRX3.UDI027-BID16_clean.fastq.gz,not reported by Genoscope,CEB_DER,CEB_DES,3949706,,ARMS organisms sample from station HCMR1,240313_JARVIS_HW5CMDRX3
EMOBON00717,ARMS7_Crete_1HERP_20200903_20211012 SF(1) > 2mm,ARMS_Crete_1HERP_20200903_20211012_SF_s1_r1,EMOBON_HCMR-1_1HERP_Ha_200903_211012_SF_1,Batch3.1,18S rRNA (V1-V2),DBN_AAFU,DBP_AADS,367,98,36,DBQ_AAIW,DBQ_AAIWOSTA_1_HW5CMDRX3.UDI003-BID16,DBQ_AAIWOSTA_1_1_HW5CMDRX3.UDI003-BID16_clean.fastq.gz,DBQ_AAIWOSTA_1_2_HW5CMDRX3.UDI003-BID16_clean.fastq.gz,not reported by Genoscope,CEB_DEX,CEB_DEY,3239121,,ARMS organisms sample from station HCMR1,240313_JARVIS_HW5CMDRX3
EMOBON00720,ARMS7_Crete_1HERP_20200903_20211012 MF 90um,ARMS_Crete_1HERP_20200903_20211012_MF90_s1_r1,EMOBON_HCMR-1_1HERP_Ha_200903_211012_MF90_1,Batch3.1,18S rRNA (V1-V2),DBN_AAFX,DBP_AADV,"20,9",98,"2048,2",DBQ_AAEN,DBQ_AAENOSTA_1_HW5CMDRX3.UDI063-BID16,DBQ_AAENOSTA_1_1_HW5CMDRX3.UDI063-BID16_clean.fastq.gz,DBQ_AAENOSTA_1_2_HW5CMDRX3.UDI063-BID16_clean.fastq.gz,not reported by Genoscope,CEB_DER,CEB_DES,4990418,,ARMS organisms sample from station HCMR1,240313_JARVIS_HW5CMDRX3
EMOBON00721,ARMS_Crete_2UBPC_20201120_20220901 SF(1),ARMS_Crete_2UBPC_20201120_20220901_SF_s1_r1,EMOBON_HCMR-1_2UBPC_Ha_201120_220901_SF_1,Batch3.1,18S rRNA (V1-V2),DBN_AAFY,DBP_AADW,"2,37",98,"232,3",DBQ_AAEO,DBQ_AAEOOSTA_1_HW5CMDRX3.UDI075-BID16,DBQ_AAEOOSTA_1_1_HW5CMDRX3.UDI075-BID16_clean.fastq.gz,DBQ_AAEOOSTA_1_2_HW5CMDRX3.UDI075-BID16_clean.fastq.gz,not reported by Genoscope,CEB_DER,CEB_DES,2772392,,ARMS organisms sample from station HCMR1,240313_JARVIS_HW5CMDRX3
EMOBON00722,ARMS_Crete_2UBPC_20201120_20220901 SF(2),ARMS_Crete_2UBPC_20201120_20220901_SF_s2_r1,EMOBON_HCMR-1_2UBPC_Ha_201120_220901_SF_2,Batch3.1,18S rRNA (V1-V2),DBN_AAFZ,DBP_AADX,"4,6",98,"450,8",DBQ_AAEP,DBQ_AAEPOSTA_1_HW5CMDRX3.UDI087-BID16,DBQ_AAEPOSTA_1_1_HW5CMDRX3.UDI087-BID16_clean.fastq.gz,DBQ_AAEPOSTA_1_2_HW5CMDRX3.UDI087-BID16_clean.fastq.gz,not reported by Genoscope,CEB_DER,CEB_DES,2650537,,ARMS organisms sample from station HCMR1,240313_JARVIS_HW5CMDRX3
EMOBON00723,ARMS_Crete_2UBPC_20201120_20220901 MF 500um,ARMS_Crete_2UBPC_20201120_20220901_MF500_s1_r1,EMOBON_HCMR-1_2UBPC_Ha_201120_220901_MF500_1,Batch3.1,18S rRNA (V1-V2),DBN_AAGA,DBP_AADY,"2,15",98,"210,7",DBQ_AAEQ,DBQ_AAEQOSTA_1_HW5CMDRX3.UDI086-BID17,DBQ_AAEQOSTA_1_1_HW5CMDRX3.UDI086-BID17_clean.fastq.gz,DBQ_AAEQOSTA_1_2_HW5CMDRX3.UDI086-BID17_clean.fastq.gz,not reported by Genoscope,CEB_DER,CEB_DES,2199789,,ARMS organisms sample from station HCMR1,240313_JARVIS_HW5CMDRX3
EMOBON00724,ARMS_Crete_2UBPC_20201120_20220901 MF 90um,ARMS_Crete_2UBPC_20201120_20220901_MF90_s1_r1,EMOBON_HCMR-1_2UBPC_Ha_201120_220901_MF90_1,Batch3.1,18S rRNA (V1-V2),DBN_AAGB,DBP_AADZ,"2,6",98,"254,8",DBQ_AAER,DBQ_AAEROSTA_1_HW5CMDRX3.UDI027-BID17,DBQ_AAEROSTA_1_1_HW5CMDRX3.UDI027-BID17_clean.fastq.gz,DBQ_AAEROSTA_1_2_HW5CMDRX3.UDI027-BID17_clean.fastq.gz,not reported by Genoscope,CEB_DER,CEB_DES,6037490,,ARMS organisms sample from station HCMR1,240313_JARVIS_HW5CMDRX3
EMOBON00725,EMOBON_Koster_VH1_Ha_210608_220608_SF40_(1),ARMS_Koster_VH1_20210608_20220608_SF40_s1_r1,EMOBON_Koster_VH1_Ha_210608_220608_SF40_1,Batch3.1,18S rRNA (V1-V2),DBN_AAGC,DBP_AAEA,"3,98",98,390,DBQ_AAES,DBQ_AAESOSTA_1_HW5CMDRX3.UDI015-BID17,DBQ_AAESOSTA_1_1_HW5CMDRX3.UDI015-BID17_clean.fastq.gz,DBQ_AAESOSTA_1_2_HW5CMDRX3.UDI015-BID17_clean.fastq.gz,not reported by Genoscope,CEB_DER,CEB_DES,4996062,,ARMS organisms sample from station Koster,240313_JARVIS_HW5CMDRX3
EMOBON00726,EMOBON_Koster_VH1_Ha_210608_220608_SF40_(2),ARMS_Koster_VH1_20210608_20220608_SF40_s2_r1,EMOBON_Koster_VH1_Ha_210608_220608_SF40_2,Batch3.1,18S rRNA (V1-V2),DBN_AAGD,DBP_AAEB,"3,13",98,"306,7",DBQ_AAET,DBQ_AAETOSTA_1_HW5CMDRX3.UDI039-BID17,DBQ_AAETOSTA_1_1_HW5CMDRX3.UDI039-BID17_clean.fastq.gz,DBQ_AAETOSTA_1_2_HW5CMDRX3.UDI039-BID17_clean.fastq.gz,not reported by Genoscope,CEB_DER,CEB_DES,4301036,,ARMS organisms sample from station Koster,240313_JARVIS_HW5CMDRX3
EMOBON00727,EMOBON_Koster_VH1_Ha_210608_220608_MF100_(1),ARMS_Koster_VH1_20210608_20220608_MF100_s1_r1,EMOBON_Koster_VH1_Ha_210608_220608_MF100_1,Batch3.1,18S rRNA (V1-V2),DBN_AAGE,DBP_AAEC,"45,5",98,4459,DBQ_AAEU,DBQ_AAEUOSTA_1_HW5CMDRX3.UDI051-BID17,DBQ_AAEUOSTA_1_1_HW5CMDRX3.UDI051-BID17_clean.fastq.gz,DBQ_AAEUOSTA_1_2_HW5CMDRX3.UDI051-BID17_clean.fastq.gz,not reported by Genoscope,CEB_DER,CEB_DES,5081733,,ARMS organisms sample from station Koster,240313_JARVIS_HW5CMDRX3
EMOBON00728,EMOBON_Koster_VH1_Ha_210608_220608_MF100_(2),ARMS_Koster_VH1_20210608_20220608_MF100_s2_r1,EMOBON_Koster_VH1_Ha_210608_220608_MF100_2,Batch3.1,18S rRNA (V1-V2),DBN_AAGF,DBP_AAED,"45,75",98,"4483,5",DBQ_AAEV,DBQ_AAEVOSTA_1_HW5CMDRX3.UDI063-BID17,DBQ_AAEVOSTA_1_1_HW5CMDRX3.UDI063-BID17_clean.fastq.gz,DBQ_AAEVOSTA_1_2_HW5CMDRX3.UDI063-BID17_clean.fastq.gz,not reported by Genoscope,CEB_DER,CEB_DES,6811398,,ARMS organisms sample from station Koster,240313_JARVIS_HW5CMDRX3
EMOBON00730,EMOBON_Koster_VH1_Ha_210608_220608_MF500_(2),ARMS_Koster_VH1_20210608_20220608_MF500_s2_r1,EMOBON_Koster_VH1_Ha_210608_220608_MF500_2,Batch3.1,18S rRNA (V1-V2),DBN_AAGH,DBP_AAEF,"28,4",98,"2783,2",DBQ_AAEX,DBQ_AAEXOSTA_1_HW5CMDRX3.UDI087-BID17,DBQ_AAEXOSTA_1_1_HW5CMDRX3.UDI087-BID17_clean.fastq.gz,DBQ_AAEXOSTA_1_2_HW5CMDRX3.UDI087-BID17_clean.fastq.gz,not reported by Genoscope,CEB_DER,CEB_DES,3082658,,ARMS organisms sample from station Koster,240313_JARVIS_HW5CMDRX3
EMOBON00731,EMOBON_Koster_VH1_Ha_210608_220608_(blank),ARMS_Koster_VH1_20210608_20220608_blank_r1,EMOBON_Koster_VH1_Ha_210608_220608_blank,Batch3.1,18S rRNA (V1-V2),DBN_AAGI,DBP_AAIP,295,90,"26,6",DBQ_AAUQ,DBQ_AAUQOSTA_2_H5FGYDRX5.UDI292-BID11,DBQ_AAUQOSTA_2_1_H5FGYDRX5.UDI292-BID11_clean.fastq.gz,DBQ_AAUQOSTA_2_2_H5FGYDRX5.UDI292-BID11_clean.fastq.gz,not reported by Genoscope,CEB_DFR,CEB_DFS,1524328,,ARMS organisms sample from station Koster,240411_JARVIS_H5FGYDRX5
EMOBON00732,EMOBON_Koster_VH3_Ha_210608_220609_SF40_(1),ARMS_Koster_VH3_20210608_20220609_SF40_s1_r1,EMOBON_Koster_VH3_Ha_210608_220609_SF40_1,Batch3.1,18S rRNA (V1-V2),DBN_AAGJ,DBP_AAEG,"11,35",108,"1225,8",DBQ_AAJL,DBQ_AAJLOSTA_2_H5FGYDRX5.UDI352-BID05,DBQ_AAJLOSTA_2_1_H5FGYDRX5.UDI352-BID05_clean.fastq.gz,DBQ_AAJLOSTA_2_2_H5FGYDRX5.UDI352-BID05_clean.fastq.gz,not reported by Genoscope,CEB_DEZ,CEB_DFA,8461214,,ARMS organisms sample from station Koster,240411_JARVIS_H5FGYDRX5
EMOBON00733,EMOBON_Koster_VH3_Ha_210608_220609_SF40_(2),ARMS_Koster_VH3_20210608_20220609_SF40_s2_r1,EMOBON_Koster_VH3_Ha_210608_220609_SF40_2,Batch3.1,18S rRNA (V1-V2),DBN_AAGK,DBP_AAEH,"15,75",108,1701,DBQ_AAJM,DBQ_AAJMOSTA_2_H5FGYDRX5.UDI364-BID05,DBQ_AAJMOSTA_2_1_H5FGYDRX5.UDI364-BID05_clean.fastq.gz,DBQ_AAJMOSTA_2_2_H5FGYDRX5.UDI364-BID05_clean.fastq.gz,not reported by Genoscope,CEB_DEZ,CEB_DFA,6052995,,ARMS organisms sample from station Koster,240411_JARVIS_H5FGYDRX5
EMOBON00734,EMOBON_Koster_VH3_Ha_210608_220609_MF100_(1),ARMS_Koster_VH3_20210608_20220609_MF100_s1_r1,EMOBON_Koster_VH3_Ha_210608_220609_MF100_1,Batch3.1,18S rRNA (V1-V2),DBN_AAGL,DBP_AAEI,"36,6",108,"3952,8",DBQ_AAJN,DBQ_AAJNOSTA_2_H5FGYDRX5.UDI376-BID05,DBQ_AAJNOSTA_2_1_H5FGYDRX5.UDI376-BID05_clean.fastq.gz,DBQ_AAJNOSTA_2_2_H5FGYDRX5.UDI376-BID05_clean.fastq.gz,not reported by Genoscope,CEB_DEZ,CEB_DFA,4578197,,ARMS organisms sample from station Koster,240411_JARVIS_H5FGYDRX5
EMOBON00735,EMOBON_Koster_VH3_Ha_210608_220609_MF100_(2),ARMS_Koster_VH3_20210608_20220609_MF100_s2_r1,EMOBON_Koster_VH3_Ha_210608_220609_MF100_2,Batch3.1,18S rRNA (V1-V2),DBN_AAGM,DBP_AAEJ,"27,2",108,"2937,6",DBQ_AAJO,DBQ_AAJOOSTA_2_H3KVNDRX5.UDI293-BID05,DBQ_AAJOOSTA_2_1_H3KVNDRX5.UDI293-BID05_clean.fastq.gz,DBQ_AAJOOSTA_2_2_H3KVNDRX5.UDI293-BID05_clean.fastq.gz,not reported by Genoscope,CEB_DEZ,CEB_DFA,5881719,,ARMS organisms sample from station Koster,240409_JARVIS_H3KVNDRX5
EMOBON00736,EMOBON_Koster_VH3_Ha_210608_220609_MF500_(1),ARMS_Koster_VH3_20210608_20220609_MF500_s1_r1,EMOBON_Koster_VH3_Ha_210608_220609_MF500_1,Batch3.1,18S rRNA (V1-V2),DBN_AAGN,DBP_AAEK,"19,65",108,"2122,2",DBQ_AAJP,DBQ_AAJPOSTA_2_H3KVNDRX5.UDI305-BID05,DBQ_AAJPOSTA_2_1_H3KVNDRX5.UDI305-BID05_clean.fastq.gz,DBQ_AAJPOSTA_2_2_H3KVNDRX5.UDI305-BID05_clean.fastq.gz,not reported by Genoscope,CEB_DEZ,CEB_DFA,4951025,,ARMS organisms sample from station Koster,240409_JARVIS_H3KVNDRX5
EMOBON00737,EMOBON_Koster_VH3_Ha_210608_220609_MF500_(2),ARMS_Koster_VH3_20210608_20220609_MF500_s2_r1,EMOBON_Koster_VH3_Ha_210608_220609_MF500_2,Batch3.1,18S rRNA (V1-V2),DBN_AAGO,DBP_AAEL,"12,03",108,"1299,2",DBQ_AAJQ,DBQ_AAJQOSTA_2_H3KVNDRX5.UDI317-BID05,DBQ_AAJQOSTA_2_1_H3KVNDRX5.UDI317-BID05_clean.fastq.gz,DBQ_AAJQOSTA_2_2_H3KVNDRX5.UDI317-BID05_clean.fastq.gz,not reported by Genoscope,CEB_DEZ,CEB_DFA,5952388,,ARMS organisms sample from station Koster,240409_JARVIS_H3KVNDRX5
EMOBON00738,EMOBON_Koster_VH3_Ha_210608_220609_(blank),ARMS_Koster_VH3_20210608_20220609_blank_r1,EMOBON_Koster_VH3_Ha_210608_220609_blank,Batch3.1,18S rRNA (V1-V2),DBN_AAGP,DBP_AAIQ,228,90,"20,5",DBQ_AAUR,DBQ_AAUROSTA_1_H3L7NDRX5.UDI375-BID11,DBQ_AAUROSTA_1_1_H3L7NDRX5.UDI375-BID11_clean.fastq.gz,DBQ_AAUROSTA_1_2_H3L7NDRX5.UDI375-BID11_clean.fastq.gz,not reported by Genoscope,CEB_DFR,CEB_DFS,3062553,,ARMS organisms sample from station Koster,240409_JARVIS_H3L7NDRX5
EMOBON00739,ARMS_GALWAY_GURR1_210720-220906_SF40_A,ARMS_Galway_Gurr1_20210720_20220906_SF40_s1_r1,EMOBON_Galway_Gurr1_210720_220906_SF40_1,Batch3.1,18S rRNA (V1-V2),DBN_AAGQ,DBP_AAEM,374,108,"40,4",DBQ_AAJR,DBQ_AAJROSTA_2_H3KVNDRX5.UDI329-BID05,DBQ_AAJROSTA_2_1_H3KVNDRX5.UDI329-BID05_clean.fastq.gz,DBQ_AAJROSTA_2_2_H3KVNDRX5.UDI329-BID05_clean.fastq.gz,not reported by Genoscope,CEB_DEZ,CEB_DFA,6602075,,ARMS organisms sample from station GALWAY,240409_JARVIS_H3KVNDRX5
EMOBON00740,ARMS_GALWAY_GURR1_210720-220906_MF100_A,ARMS_Galway_Gurr1_20210720_20220906_MF100_s1_r1,EMOBON_Galway_Gurr1_210720_220906_MF100_1,Batch3.1,18S rRNA (V1-V2),DBN_AAGR,DBP_AAEN,"28,1",108,"3034,8",DBQ_AAJS,DBQ_AAJSOSTA_2_H5FGYDRX5.UDI340-BID08,DBQ_AAJSOSTA_2_1_H5FGYDRX5.UDI340-BID08_clean.fastq.gz,DBQ_AAJSOSTA_2_2_H5FGYDRX5.UDI340-BID08_clean.fastq.gz,not reported by Genoscope,CEB_DEZ,CEB_DFA,1854518,,ARMS organisms sample from station GALWAY,240411_JARVIS_H5FGYDRX5
EMOBON00741,ARMS_GALWAY_GURR1_210720-220906_MF500_A,ARMS_Galway_Gurr1_20210720_20220906_MF500_s1_r1,EMOBON_Galway_Gurr1_210720_220906_MF500_1,Batch3.1,18S rRNA (V1-V2),DBN_AAGS,DBP_AAEO,"1,765",108,"190,6",DBQ_AAJT,DBQ_AAJTOSTA_2_H5FGYDRX5.UDI352-BID08,DBQ_AAJTOSTA_2_1_H5FGYDRX5.UDI352-BID08_clean.fastq.gz,DBQ_AAJTOSTA_2_2_H5FGYDRX5.UDI352-BID08_clean.fastq.gz,not reported by Genoscope,CEB_DEZ,CEB_DFA,2011220,,ARMS organisms sample from station GALWAY,240411_JARVIS_H5FGYDRX5
EMOBON00742,ARMS_GALWAY_GURR2_210720-220907_SF40_A,ARMS_Galway_Gurr2_20210720_20220907_SF40_s1_r1,EMOBON_Galway_Gurr2_210720_220907_SF40_1,Batch3.1,18S rRNA (V1-V2),DBN_AAGT,DBP_AAEP,"8,75",108,945,DBQ_AAJU,DBQ_AAJUOSTA_2_H5FGYDRX5.UDI364-BID08,DBQ_AAJUOSTA_2_1_H5FGYDRX5.UDI364-BID08_clean.fastq.gz,DBQ_AAJUOSTA_2_2_H5FGYDRX5.UDI364-BID08_clean.fastq.gz,not reported by Genoscope,CEB_DEZ,CEB_DFA,1213082,,ARMS organisms sample from station GALWAY,240411_JARVIS_H5FGYDRX5
EMOBON00743,ARMS_GALWAY_GURR2_210720-220907_MF100_A,ARMS_Galway_Gurr2_20210720_20220907_MF100_s1_r1,EMOBON_Galway_Gurr2_210720_220907_MF100_1,Batch3.1,18S rRNA (V1-V2),DBN_AAGU,DBP_AAEQ,"57,1",108,"6166,8",DBQ_AAJV,DBQ_AAJVOSTA_2_H5FGYDRX5.UDI376-BID08,DBQ_AAJVOSTA_2_1_H5FGYDRX5.UDI376-BID08_clean.fastq.gz,DBQ_AAJVOSTA_2_2_H5FGYDRX5.UDI376-BID08_clean.fastq.gz,not reported by Genoscope,CEB_DEZ,CEB_DFA,1859501,,ARMS organisms sample from station GALWAY,240411_JARVIS_H5FGYDRX5
EMOBON00744,ARMS_GALWAY_GURR2_210720-220907_MF500_A,ARMS_Galway_Gurr2_20210720_20220907_MF500_s1_r1,EMOBON_Galway_Gurr2_210720_220907_MF500_1,Batch3.1,18S rRNA (V1-V2),DBN_AAGV,DBP_AAER,"1,052",108,"113,6",DBQ_AAJW,DBQ_AAJWOSTA_2_H3KVNDRX5.UDI293-BID08,DBQ_AAJWOSTA_2_1_H3KVNDRX5.UDI293-BID08_clean.fastq.gz,DBQ_AAJWOSTA_2_2_H3KVNDRX5.UDI293-BID08_clean.fastq.gz,not reported by Genoscope,CEB_DEZ,CEB_DFA,1948856,,ARMS organisms sample from station GALWAY,240409_JARVIS_H3KVNDRX5
EMOBON00745,ARMS_GALWAY_GURR3_210720-220907_SF40_A,ARMS_Galway_Gurr3_20210720_20220907_SF40_s1_r1,EMOBON_Galway_Gurr3_210720_220907_SF40_1,Batch3.1,18S rRNA (V1-V2),DBN_AAGW,DBP_AAES,"5,44",108,"587,5",DBQ_AAJX,DBQ_AAJXOSTA_2_H3KVNDRX5.UDI305-BID08,DBQ_AAJXOSTA_2_1_H3KVNDRX5.UDI305-BID08_clean.fastq.gz,DBQ_AAJXOSTA_2_2_H3KVNDRX5.UDI305-BID08_clean.fastq.gz,not reported by Genoscope,CEB_DEZ,CEB_DFA,2405445,,ARMS organisms sample from station GALWAY,240409_JARVIS_H3KVNDRX5
EMOBON00746,ARMS_GALWAY_GURR3_210720-220907_MF100_A,ARMS_Galway_Gurr3_20210720_20220907_MF100_s1_r1,EMOBON_Galway_Gurr3_210720_220907_MF100_1,Batch3.1,18S rRNA (V1-V2),DBN_AAGX,DBP_AAET,"24,8",108,"2678,4",DBQ_AAJY,DBQ_AAJYOSTA_2_H3KVNDRX5.UDI317-BID08,DBQ_AAJYOSTA_2_1_H3KVNDRX5.UDI317-BID08_clean.fastq.gz,DBQ_AAJYOSTA_2_2_H3KVNDRX5.UDI317-BID08_clean.fastq.gz,not reported by Genoscope,CEB_DEZ,CEB_DFA,1080811,,ARMS organisms sample from station GALWAY,240409_JARVIS_H3KVNDRX5
